Rank,Question,Bot Response,Confidence
33,can you please show me the academic calendar,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
34,solutions uis,"Current students, faculty, administrators and staff should use:

<br/>[SignOn](https://signon.stjohns.edu) for UIS

<br/>Newly accepted student and former employees and students may access [UIS here](https://www.stjohns.edu/uis)

<br/>You can find more instructions on how to log onto [UIS here](https://ithelp.stjohns.edu/support/solutions/articles/16000055000-uis-guide-frequently-asked-questions-help)  ",high
35,transcript,"Point to: ""solutions transcript""",high
36,solutions wifi,"Students, Faculty, Administrators, and Staff should use
[SJUMobile](https://ithelp.stjohns.edu/support/solutions/articles/16000015825).

<br/>
Guests should use 
[SJUGuest.](https://ithelp.stjohns.edu/support/solutions/articles/16000032592)

If you are interested in connecting your **Console** or **Smart Speakers**, visit the [Gaming Connect page.](https://ithelp.stjohns.edu/support/solutions/articles/16000016013)",high
37,canvas,Canvas is accessible for current St. John's students or employees. Canvas can be found by logging into the [Sign-On Portal](https://signon.stjohns.edu).,high
38,uis,"Point to: ""solutions uis""",high
39,medicat,,low
40,my account is locked,"To unlock your account, follow the instructions provided [here](https://ithelp.stjohns.edu/support/solutions/articles/16000043317-how-do-i-unlock-my-account-for-signon-stjohns-edu-). You can also click on the **Unlock** link at the bottom of the [SignOn](https://signon.stjohns.edu/) portal and follow the instructions. If you need further assistance, contact the Service Desk at 718-990-5000 during business hours, Mon - Fri, 7:30 AM to 7:30 PM. If you had previously registered a recovery method, you can reset your account on your own by visiting the same [page](https://ithelp.stjohns.edu/support/solutions/articles/16000043317-how-do-i-unlock-my-account-for-signon-stjohns-edu-).",high
41,where can i find my schedule,"You can find your class schedule at St. John's University using the following methods:

1. **Mobile App**: Install and log in to the St. John's University Connect App on your phone or tablet. Once logged in, locate the tile labeled “Student Schedule” to see the course name, date/time, and class location, as well as a link to email your professor directly. For installation instructions, visit [How do I install and set up the SJU Connect App?](https://ithelp.stjohns.edu/support/solutions/articles/16000057912).

2. **Web Version**: Log in to the Sign-On portal and click “Connect.” The schedule will be displayed on the right side of the page with the course name, date/time, and class location, as well as a link to email your professor directly.

3. **New UIS Experience**: Log in to St. John’s Connect, click on “New UIS Experience,” scroll down to the card labeled “Registration,” and click on the tab that says “Look Up a Schedule.” Select the term you are looking for to see the dates and times for each class.

For assistance, visit [St. John's IT Help](https://ithelp.stjohns.edu) or call the Service",high
42,solutions deadlines,"Which deadlines are you asking about?

https://www.stjohns.edu/admission/undergraduate-admission/deadlines-notifications

Undergraduate Deadlines

https://www.stjohns.edu/admission/graduate-admission/graduate-admission-deadlines-and-notifications

Graduate Deadlines

Undegraduate Deadlines

Graduate Deadlines",high
43,how do i log in,"Point to: ""solutions signon first time""",high
44,undergraduate,,low
45,ok,"If you have any more questions or need further assistance, feel free to ask!",high
46,i need a transcript,"Point to: ""solutions transcript""",high
47,how do i access my email,You can access your e-mail by logging into [Sign-On](https://signon.stjohns.edu) and clicking the Office 365 Mail icon.<br>,high
48,phone number,"The phone number for Information Technology Support is [718-990-5000](tel:7189905000), available Monday - Friday from 7:30am until 7:30pm EST.",high
49,make an appointment with advisor,"Point to: ""advisement""",high
50,i forgot my password,"**Default password:** 
<br/>Sjxxxxxxxx (where xxxxxxxx is your Storm Card ID card number) 
<br/>**This is the eight digit number on the front of your Photo ID card. It is not your X number.**

<br/>If you forget the password you created, follow this [video](https://youtu.be/bPZI6iF6aVo) on how to reset your forgotten password or follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016145-i-forgot-my-password-to-log-in-to-the-sign-on-portal-how-do-i-reset-my-account-).",high
51,how do i change my major,"If you want to change your major at St. John's University, you can email admhelp@stjohns.edu with your name, date of birth, and the major for which you would now like to apply. If you are a continuing student, you should complete the Internal Transfer Request Form on the [New UIS Experience](https://connect.stjohns.edu/) widget.",high
52,email address,"Point to: ""solutions signon first time""",high
53,solutions forgot password,"**Default password:** Sjxxxxxxxx (where xxxxxxxx is your Storm Card ID card number) 
<br/>**This is the eight digit number on the front of your Photo ID card. It is not your X number.**

<br/>Follow this [video](https://youtu.be/bPZI6iF6aVo) on how to reset your forgotten password or follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016145-i-forgot-my-password-to-log-in-to-the-sign-on-portal-how-do-i-reset-my-account-).

https://youtu.be/bPZI6iF6aVo",high
54,log in,"To log in to your account at St. John's University, follow these steps:

1. Go to [signon.stjohns.edu](https://signon.stjohns.edu).
2. Your username is your St. John's email, formatted as firstname.lastnameYY@my.stjohns.edu, where YY is the two-digit year you entered the university.
3. Your default password is Sjxxxxxxxx, where xxxxxxxx is your Storm Card ID card number (the eight-digit number on the front of your Photo ID card, not your X number).
4. First-time users can watch a [video](https://youtu.be/LGEuKQzLTmY?list=PLZ4iYhOa7b8hV9JAgYkbHusJl7pD_b67K) for guidance on signing in.
5. For more detailed instructions, visit [this page](https://ithelp.stjohns.edu/support/solutions/articles/16000010232-how-do-i-log-in-to-the-sign-on-okta-portal-at-signon-stjohns-edu-).

If you are logging into Formstack, follow these additional steps:

1. Navigate to [formstack.com](http://formstack.com/).
2. Select",high
55,help,What can I help with?,high
56,where are you located,"Point to: ""address""",high
57,address,"St. John's University is located at 8000 Utopia Parkway, Queens, NY 11439. The university also has a campus in Rome and locations in Paris and Limerick. For directions and more information, visit [Find Us](https://www.stjohns.edu/queens-residential-campus/directions-and-area-hotels).",high
58,when does the spring classes start,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
59,how to pay tuition,"Point to: ""solutions payment""",high
60,advisement,"The [Center for Student Success](https://www.stjohns.edu/academics/centers-institutes/center-student-success) advises first-year students. The [Office of Transfer Student Services](https://www.stjohns.edu/admission/st-johns-welcomes-transfer-students/transfer-student-services#:~:text=For%20more%20information%20contact%20our,at%20Tsshelp%40stjohns.edu) advises entering transfer students. After the first year, you can find your academic advisor by contacting the College office and faculty advisors in major departments. You can schedule an appointment, find your academic dean, and more by visiting the Student Academic Advisement page. If you are in the College of Liberal Arts and Sciences, you can contact the dean's office [here](https://www.stjohns.edu/academics/schools/st-johns-college-liberal-arts-and-sciences/contact). If you are in the College of Professional Studies, you can find advisement information [here](https://www.stjohns.edu/academics/schools/college-professional-studies/ccps-student-services/ccps-academic-advisement). For all other College offices, contact us at [718-990-2000](tel:7189902000) during regular office hours.",high
61,solutions reset uis,Please refer to the [following Solutions webpage](https://ithelp.stjohns.edu/support/solutions/articles/16000034380).,high
62,login to uis,"St. John’s UIS (University Information System) is a one-stop resource for secure, personalized, access to critical information about your personal academic and financial aid information at St. John’s University. Due to federal privacy regulations, parents do not have direct access to student records but they may wish to discuss the opportunity to view and use the various online options available to students via UIS.

<br/>UIS can be used to:
- Check Financial Aid status at the University
- Check disbursements to your student account
- Sign up for a Payment Plan
- Make payments to St. John's

<br/>Current students should use [connect.stjohns.edu](https://connect.stjohns.edu/) or use the connect app on your smart phone and choose the New UIS Experience widget.",high
63,how can i find my academic advisor,"You can find your academic advisor by contacting the College office and faculty advisors in major departments. You can schedule an appointment, find your academic dean, and more by visiting the Student Academic Advisement page. If you are in the College of Liberal Arts and Sciences, you can contact the dean's office [here](https://www.stjohns.edu/academics/schools/st-johns-college-liberal-arts-and-sciences/contact). If you are in the College of Professional Studies, you can find advisement information [here](https://www.stjohns.edu/academics/schools/college-professional-studies/ccps-student-services/ccps-academic-advisement). For all other College offices, contact us at [718-990-2000](tel:7189902000) during regular office hours.",high
64,its not working,"Point to: ""solutions agent""",high
65,who should i contact about graduating,Students can visit our [Commencement](https://www.stjohns.edu/academics/commencement/) page to help prepare for graduation. Students should contact their advisor to confirm your eligibility to graduate.,high
66,test it livechat,"Point to: ""solutions agent""",high
67,calendar,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
68,how do i drop a class,"To drop a class at St. John's University, you can use the St. John's University Information System (UIS) to drop the class in the same way you registered for it. Web registration is available through the last day of the first week of the semester. Note that you can drop classes via the Web as long as you are not dropping all your classes. If you want to drop all your classes, you must inform your Dean in writing. During the second and third weeks of the semester, you need permission from your Dean’s Office to drop a class. Bring this permission to the Office of the Registrar, and they will drop the class for you. Classes dropped through the first three weeks of the semester do not appear on your transcript.",high
69,i am majoring in undecided peter j tobin college of business,,low
70,pay bill,"To pay your bill at St. John's University, you can follow these steps:

1. **Online Payment:**
   - Login to Connect via the mobile app or [https://connect.stjohns.edu](https://connect.stjohns.edu/).
   - Click on the widget for New UIS.
   - Search for the “Student Accounts” card.
   - Select the Account Suite- eBills/Payments link.
   - Choose the term you want to view and pay from the drop-down menu.
   - View your current charges and any memoed or eligible authorized aid.
   - Scroll down and click on the blue link ""Make Payment/Enroll in Payment Plan"" to proceed to the payment portal.

2. **Pay by Check:**
   - Make checks payable to St. John's University and include your student ID number.
   - Include the payment invoice with your check.
   - Send your check and invoice to:
     - St. John’s University
     - Student Financial Services
     - 8000 Utopia Parkway
     - Queens, NY 11439

Please note that St. John's University charges a $50 penalty fee for returned checks and chargeback credit card payments.",high
71,financial aid,"Would you like to speak with someone from Student Financial Services?

For **Student Financial Services** questions:

<br/>Send an email to [**studentfinancialserv@stjohns.edu**](mailto:studentfinancialserv@stjohns.edu).

<br/>You can call us at [(718) 990-2000](tel:7189902000)  (Mon.-Thurs. 8:30am-4:30pm, Fri. 8:30am-3pm.)

Yes

No",high
72,email,"A Microsoft Office 365 **[email](https://outlook.office.com/owa/)** account has been created for you.  

<br/>You can access your email by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or using the Connect app on your smartphone and clicking on Office 365 Mail icon.",high
73,hi i cant log into my account,"Point to: ""solutions signon first time""",high
74,where is st johns located,"St. John's University is located at 8000 Utopia Parkway, Queens, NY 11439. The university also has a campus in Rome and locations in Paris and Limerick. For directions and more information, visit [Find Us](https://www.stjohns.edu/queens-residential-campus/directions-and-area-hotels).",high
75,what is your mascot,"Point to: ""what is your mascot?""",high
76,solutions payment,"To make a payment or apply for a payment plan, visit the online payment portal today through the [New UIS Experience](https://connect.stjohns.edu/). 

<br/>Look for **Student Accounts** and select **Account Suite - eBills/Payments**
<br/>to view the term bill.",high
77,solutions jobs,"[University Career Services](https://www.stjohns.edu/life-st-johns/career-services)  provides programs and services that create opportunities for students, alumni, faculty, and employers to engage in mutually beneficial partnerships that meet the needs of an evolving and global workforce. 

<br/>
Information about St. John's University job opportunities is listed [here.](https://www.stjohns.edu/about/leadership-and-administration/administrative-offices/human-resources/recruitment)

<br/>
Current students can visit [Student Employment](https://www.stjohns.edu/recruitment/student-employment) for on-campus job opportunities.",high
78,reset password,Please refer to the [Reset Password Solutions webpage](https://ithelp.stjohns.edu/support/solutions/articles/16000016145) for instructions.,high
79,i have a question about graduation,"Point to: ""who should i contact about graduating?""",high
80,unlock account,"To unlock your account at St. John's University, follow these steps:

1. Click on the Unlock link at the bottom of the login screen on [https://signon.stjohns.edu](https://signon.stjohns.edu/).

2. On the unlock screen, enter your entire SJU email address that you use to login. Then, choose ""Send SMS"" or ""Voice Call.""

3. Enter the verification code that is automatically sent to you, and click the VERIFY button.

4. You will be prompted to answer the security question that you created when you set up your account.

5. If your answer matches what you created, you will receive a confirmation message.

If these steps do not work, please call the Service Desk at 718-990-5000, Monday to Friday, 7:30 AM to 7:30 PM EST, and press option 2. Have your X number available and be prepared to confirm additional information to verify your identity.",high
81,i need a offical transcript,"Official electronic transcripts from St. John's University can be ordered from the [Parchment website](https://www.parchment.com/u/registration/33150/account) if you attended after 1989, with a service fee. You can also request official and unofficial transcripts via [UIS](https://www.stjohns.edu/uis). If you attended or graduated prior to 1990, follow the instructions for mail-in requests [here](https://www.stjohns.edu/academics/office-registrar#transcript). Law School students should refer to the [Law School Office of the Registrar](https://www.stjohns.edu/law/student-services/office-registrar) for instructions.",high
82,how do i unlock my account,"Point to: ""solutions unlock account""",high
83,where can i see my schedule,"You can view your class schedule at St. John's University through the following methods:

1. **Mobile App**: Install and log in to the St. John’s University Connect App on your phone or tablet. Once logged in, locate the tile labeled “Student Schedule” to see the course name, date/time, and class location, as well as a link to email your professor directly. Instructions for installation can be found [here](https://ithelp.stjohns.edu/support/solutions/articles/16000057912).

2. **Web Version**: Log in to the Sign-On portal and click “Connect.” The schedule will be displayed on the right side of the page with the course name, date/time, and class location, as well as a link to email your professor directly.

3. **New UIS Experience**: Log in to St. John’s Connect, click on “New UIS Experience,” scroll down to the card labeled “Registration,” and click on the tab that says “Look Up a Schedule.” Select the term you are looking for to see the dates and times for each class. You can also view all registered classes in a calendar format.

For assistance, visit [St. John's University Service Desk](https://ithelp.stjohns.edu) or",high
84,make an appointment,"To make an appointment with Information Technology at St. John's University, follow these steps:

1. Log in to [https://signon.stjohns.edu](https://signon.stjohns.edu). If you need help logging in, refer to the guide: [How do I log in to Signon.stjohns.edu?](https://ithelp.stjohns.edu/support/solutions/articles/16000010232).

2. Once logged in, click on the app labeled ""Technology Appointments.""

3. Use your SJU email address to request an appointment, as it is required for confirmation.

4. Choose a date with available appointments and select a time from the list. Click “Continue” to proceed.

5. A confirmation page will appear with the details of your appointment, and a reminder email will be sent 24 hours and 1 hour before the appointment.

Note: In-person appointments have a strict schedule. If you are more than 10 minutes late, your appointment may be canceled, and you will need to reschedule.",high
85,application deadlines,"Point to: ""solutions deadlines""",high
86,housing,"Point to: ""solutions housing portal""",high
87,what time,,none
88,what high school classes are required for a bachelors degree,"Select programs have a minimum GPA or course requirement(s) for program consideration. Visit [Majors and Programs of Study](https://www.stjohns.edu/academics/programs) to find your program of study and admission requirements. 
<br/> 
If you do not see a major or program of study, [Connect With Us](https://www.stjohns.edu/admission/connect-us) to further discuss your options.
<br/>
**Office Hours**
Monday–Thursday: 8:30 a.m.-4:30 p.m.
Friday: 8:30 a.m.–3 p.m.
*Holiday hours may vary*",high
89,where can i find my class schedule,"You can find your class schedule at St. John's University using the following methods:

1. **Mobile App**: Install and log in to the St. John’s University Connect App on your phone or tablet. Once logged in, locate the tile labeled “Student Schedule” to see the course name, date/time, and class location, as well as a link to email your professor directly. For installation instructions, visit [How do I install and set up the SJU Connect App?](https://ithelp.stjohns.edu/support/solutions/articles/16000057912).

2. **Web Version**: Log in to the Sign-On portal and click “Connect.” Your schedule will be displayed on the right side of the page with the course name, date/time, and class location, along with a link to email your professor directly.

3. **New UIS Experience**: Log in to St. John’s Connect, click on “New UIS Experience,” scroll down to the card labeled “Registration,” and click on the tab that says “Look Up a Schedule.” Select the term you are looking for to see the dates and times for each class. You can also view all registered classes in a calendar format by clicking on Schedule.

For further assistance, visit [St.",high
90,i am transfer student from nassau community college,"St. John’s University and Nassau Community College are excited to announce this unique and beneficial program for our students. As a result of this agreement, students applying to NCC can make their future intention to transfer to STJ known during the application process.  When this is done, NCC students will be given exclusive opportunities to visit the STJ campus and work directly with our esteemed faculty and professional staff to make their transition as smooth as possible.  In addition, NCC students transferring to STJ are guaranteed a priority admission and scholarship decision. This agreement is also applicable to currently enrolled students at NCC.

Go here for more information on [transferring from Nassau to St. Johns](https://www.stjohns.edu/admission/we-see-you/community-college-partnerships/nassau-community-college).",high
91,solutions speak to financial aid,"Would you like to speak with someone from Student Financial Services?

For **Student Financial Services** questions:

<br/>Send an email to [**studentfinancialserv@stjohns.edu**](mailto:studentfinancialserv@stjohns.edu).

<br/>You can call us at [(718) 990-2000](tel:7189902000)  (Mon.-Thurs. 8:30am-4:30pm, Fri. 8:30am-3pm.)

Yes

No",high
92,i am transfer student from ncc,"As a transfer student from Nassau Community College, you have the opportunity to participate in a unique program with St. John’s University. This program allows you to express your intention to transfer to St. John’s during your application process at NCC. You will receive exclusive opportunities to visit the St. John’s campus and work with faculty and staff to ensure a smooth transition. Additionally, you are guaranteed a priority admission and scholarship decision. You may also qualify for the Stay on Long Island Initiative, which offers full-tuition and partial scholarships, provided you are scheduled to earn your Associate Degree. For more information, you can visit [transferring from Nassau to St. Johns](https://www.stjohns.edu/admission/we-see-you/community-college-partnerships/nassau-community-college) or contact Nassau Community College staff at 516-572-7696 or [transfer@ncc.edu](mailto:transfer@ncc.edu).",high
93,what are the hours of operation for the gym,"For the most up to date information on Fitness Center hours, classes, and events, visit [here](https://www.stjohns.edu/queens-residential-campus/campus-recreation/recreation-opportunities#:~:text=Fitness%20Center%20Hours%3A,Sunday%3A%20Noon%20to%207%20p.m).",high
94,how can i find course descriptions at st johns university,Course descriptions and offerings can be found on our [Bulletin](https://www.stjohns.edu/academics/academic-resources-and-programs/bulletins).,high
95,when is the first day of classes,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
96,parchment,"Point to: ""solutions transcript""",high
97,majors,"St. John's University offers the following majors:

**Bachelor of Arts:**
- Anthropology
- Art History
- Asian Studies
- Communication Studies
- Economics
- English
- Environmental Sustainability and Decision-Making
- French
- Global Development and Sustainability
- Government and Politics
- History
- Italian
- Mathematics
- Philosophy
- Psychology
- Public Administration and Public Service
- Social Studies
- Sociology
- Spanish
- Speech-Language Pathology and Audiology
- Theology

**Bachelor of Science:**
- Biochemistry
- Biology
- Chemistry
- Computer Science
- Computing and Machine Learning
- Environmental Science
- Mathematical Physics
- Mathematics
- Physical Science
- Physics

**Bachelor of Fine Arts:**
- Fine Arts
- Graphic Design
- Illustration
- Photography

Some programs are available only on specific campuses, with combined B.A./M.A. or B.S./M.S. programs available for certain majors.",high
98,housing application,"Students planning to live on-campus must submit their non-refundable housing deposit by the deadline. To learn more about the housing deposit deadline and housing process, visit [Housing Selection](https://www.stjohns.edu/queens-residential-campus/residence-life/housing-selection). For room and board rates, visit [here](https://www.stjohns.edu/admission/tuition-and-financial-aid/tuition/room-and-board).

<br/>
If the deadline has passed, contact the Customer Service Center at [718-990-2000](tel:7189902000).

<br/>
**Office Hours**
Monday–Thursday: 8:30 a.m.-4:30 p.m.
Friday: 8:30 a.m.–3 p.m.
*Holiday hours may vary*",high
99,how can i use email for log in not phone number,"You currently can't use email as a MFA method.

Point to: ""solutions setup mfa""",high
100,yes i will like to apply for scholarship,"Point to: ""how do i get a scholarship to this school?""",high
101,admissions,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
102,can international students receive an application fee waiver,"St. John’s offers a free online application for all 100+ undergraduate programs, and graduate applications carry a low cost for most programs. To apply or learn more about the application process visit [Apply](https://www.stjohns.edu/admission/apply).",high
103,campus tour calendar,"Which academic calendar would you like to see?

https://www.stjohns.edu/academics/academic-resources/academic-calendar

New York Campuses

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-st-johns-semester-paris

Paris Campus

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-study-abroad-rome

Rome Campus Academic Calendar

https://www.stjohns.edu/academics/study-abroad-global-programs/study-and-volunteering-abroad/office-international-education-oie-outbound-programs/academic-calendars-undergraduate-programs-abroad/academic-calendar-western-europe-semester-programs

Western Europe Campuses

https://www.stjohns.edu/law/academics/academic-calendar

Law School

New York Campuses

Paris Campus

Rome Campus

Western Europe Campuses

Law School",high
104,scholarship opportunities,"St. John's University offers a range of scholarship opportunities, including:

- [Undergraduate Student Scholarships](https://www.stjohns.edu/admission/scholarships)
- [Transfer Student Scholarships](https://www.stjohns.edu/admission/scholarships/transfer-student-scholarships)
- [International Student Scholarships](https://www.stjohns.edu/admission/international-admission/faqs)
- [Graduate Student Scholarships](https://www.stjohns.edu/admission/graduate-admission/graduate-scholarships)",high
105,scholarships,"St. John's University offers a range of scholarships including undergraduate student scholarships, transfer student scholarships, international student scholarships, and graduate student scholarships. You can find more information on these scholarships at the following links: 

- [Undergraduate Student Scholarships](https://www.stjohns.edu/admission/scholarships)
- [Transfer Student Scholarships](https://www.stjohns.edu/admission/scholarships/transfer-student-scholarships)
- [International Student Scholarships](https://www.stjohns.edu/admission/international-admission/faqs)
- [Graduate Student Scholarships](https://www.stjohns.edu/admission/graduate-admission/graduate-scholarships)",high
