Rank,Question,Bot Response,Confidence
21,what gpa do i need to have to be accepted,"Point to: ""what high school classes are required for a bachelor's degree?""",high
22,whats is the acceptance rate,,low
23,i am looking for graduate programs,"You can find information on graduate programs at St. John's University by visiting the following links:

- [Graduate Programs](https://www.stjohns.edu/academics/programs)
- [Graduate Bulletin](https://www.stjohns.edu/academics/academic-resources-and-programs/bulletins)
- [Upcoming Graduate Events](https://grad.stjohns.edu/portal/grad-events)
- [Request Graduate Information](https://grad.stjohns.edu/register/info)

For specific information on the M.B.A. in Information Systems, you can visit the [M.B.A. program page](https://www.stjohns.edu/academics/programs/information-systems-master-business-administration). Additionally, for details on the graduate programs offered by The Peter J. Tobin College of Business, you can explore their [graduate programs page](https://www.stjohns.edu/academics/schools/peter-j-tobin-college-business/peter-j-tobin-college-business-graduate-programs).",high
24,hi i have some questions about admissions,"For questions concerning admission procedures or graduate programs at St. John's University, you can contact the Office of Graduate Admission at 718-990-1601, fax 718-990-2346, or email gradhelp@stjohns.edu. For transfer student admissions, you can reach out to the transfer team at 718-990-2051. Additionally, you can visit [St. John's University Admissions](https://www.stjohns.edu/admission/apply) for more information and application links.",high
25,i need to speak with a live agent,"Point to: ""solutions agent""",high
26,i need to reset my passwod,"Point to: ""solutions reset password""",high
27,how do i apply as a international student,"To apply to St. John's University as an international student, you need to follow these steps:

1. Provide secondary school records, including diplomas and any external examinations taken.
2. Provide official college and university records (if attended), including diplomas/degrees awarded.
3. Send payment for the $70 USD application fee (non-refundable).
4. Submit the most recent TOEFL score if the language of instruction is not English.
5. Provide an official English translation of all academic records that are not in English.
6. Submit a foreign credential evaluation if your academic records are from a non-U.S. accredited institution and are in a language other than English. Refer to [www.naces.org](http://www.naces.org/) for a list of acceptable credential evaluating agencies.

For more information, you can contact the Office of International Graduate Admission at [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu?subject=International%20Graduate%20Admission) or the Office of International Undergraduate Admission at [intladm@stjohns.edu](mailto:intladm@stjohns.edu?subject=International%20Undergraduate%20Admission).",high
28,how do i sign up for a campus tour,"You can schedule a campus tour for prospective undergraduate students [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and for prospective graduate students [here](https://grad.stjohns.edu/portal/graduate_tours). If you have questions before your visit, you can contact St. John's University at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
29,how do i know if i got accepted,,none
30,when does applications open,"Point to: ""solutions deadlines""",high
31,what is the deadline for admissions,"Point to: ""solutions deadlines""",high
32,hi i need help,Of course! I'm here to help. What do you need assistance with?,high
33,how do i check the status of my application,,low
34,i want to request more information,"Undergraduate Admissions 

Graduate Admissions",high
35,what is the application process,"Point to: ""how do i apply?""",high
36,what are the degrees offered,"Point to: ""solutions degrees""",high
37,what types of housing is available,"St. John's University provides housing to undergraduate, graduate, and law students in residence halls and apartments on the Queens and Staten Island campuses. On the Queens campus, housing options include single, double, triple, and quad-style rooms in suites, rooms sharing a connecting bathroom, and apartment configurations both on- and off-campus. The Staten Island campus offers apartment-style housing at the edge of the campus property. There is no housing available on the Manhattan campus; students there may choose to live in private residences, homestays, or apartment rentals nearby.",high
38,how do i sign up for a tour,"Point to: ""campus tour calendar""",high
39,how do i change my password,"Point to: ""solutions reset password""",high
40,i want to know more about the school,"St. John's University is a Catholic and Vincentian institution that prepares students for personal and professional success in today's global society. It is a metropolitan university located in New York City, allowing students to benefit from the city's cultural diversity, intellectual and artistic resources, and unique educational programs. St. John's also has a global presence, offering students opportunities to study at its campuses in Rome, Paris, and Limerick. The university provides a supportive community, particularly for veteran and military students, and emphasizes building relationships with deans and faculty to aid in the transition to college. For more information, you can explore their [campuses and locations](https://www.stjohns.edu/life-st-johns) or [find a program](https://www.stjohns.edu/academics/programs) that suits your academic interests.",high
41,how do i apply for university,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
42,how long does it take to hear back about my application,"St. John’s University offers several application plans through which undergraduate applicants may apply for admission. These include Early Action, and Priority, as well as specific deadlines for certain programs. Visit [Deadlines & Notifications](https://www.stjohns.edu/admission/undergraduate-admission/deadlines-notifications) to view the deadlines and expected notification date.",high
43,what time does the admissions office close,,low
44,on email,"A Microsoft Office 365 **[email](https://outlook.office.com/owa/)** account has been created for you.  

<br/>You can access your email by logging into [connect.stjohns.edu](https://connect.stjohns.edu/) or using the Connect app on your smartphone and clicking on Office 365 Mail icon.",high
45,passwrd,"Point to: ""solutions forgot password""",high
46,how do i access my email,You can access your e-mail by logging into [Sign-On](https://signon.stjohns.edu) and clicking the Office 365 Mail icon.<br>,high
47,i cannot log into my unlv,"Point to: ""solutions signon first time""",high
48,how do i connect to wifi,"To connect to the Wi-Fi at St. John's University, follow these steps based on your device:

**For Windows:**
1. Click the Wi-Fi signal icon on the bottom right corner of the screen.
2. Select SJUMobile and click Connect.
3. Enter your SJU Username and Password, then click Connect.

**For iOS (iPad, iPhone, & iPod):**
1. Go to Settings and select Wi-Fi.
2. Ensure Wi-Fi is turned on.
3. Select SJUMobile.
4. Enter your SJU Username and Password, then click Connect.

For specific instructions on other devices like Android, Mac OSX, Google Pixel, or if you need to connect a ChromeBook, please refer to the appropriate guides provided by St. John's University Service Desk. If you encounter issues, you can contact the Service Desk at 718-990-5000, Monday to Friday, 7:30 am to 7:30 pm EST.",high
49,i forgot my passowrd,"**Default password:** 
<br/>Sjxxxxxxxx (where xxxxxxxx is your Storm Card ID card number) 
<br/>**This is the eight digit number on the front of your Photo ID card. It is not your X number.**

<br/>If you forget the password you created, follow this [video](https://youtu.be/bPZI6iF6aVo) on how to reset your forgotten password or follow the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016145-i-forgot-my-password-to-log-in-to-the-sign-on-portal-how-do-i-reset-my-account-).",high
50,where can i find application,,low
51,i would like to speak to an admissions counselor,You can [Connect With Us](https://www.stjohns.edu/admission/connect-us) to speak with one of the admissions counselors.,high
52,do you have dorms,"Yes, St. John's University provides housing in residence halls and apartments on the Queens and Staten Island campuses. The Queens campus offers single, double, triple, and quad-style rooms in suites, rooms sharing a connecting bathroom, and apartment configurations both on- and off-campus. The Staten Island campus offers apartment-style housing adjacent to the campus. You can find more information and take a virtual tour of the residence facilities [here](https://www.stjohns.edu/queens-residential-campus/residence-life/residence-halls).",high
53,what are the requirements for international students,"Undergraduate International Application

Graduate International Application",high
54,i need information about international students,"International students at St. John's University can access various resources through the Office of International Student and Scholar Services (ISSSO). The office assists with immigration compliance, orientation to life at St. John's, and offers counseling for financial, personal, and legal matters. They also provide advisement on medical insurance, Social Security, taxes, and coordinate social and cultural programs. The ISSSO serves as a liaison with foreign consular offices and U.S. government agencies. For more information, you can contact them [here](https://www.stjohns.edu/admission/international-admission/international-student-and-scholar-services).

Additionally, the Global Language and Culture Center offers language learning resources, including tutoring, workshops, and cultural events. The English Language Institute provides intensive English language programs for students preparing to apply to the university or those conditionally admitted with lower TOEFL scores. For more details on degree programs and applications, visit [here](https://www.stjohns.edu/academics/programs) and [here](https://www.stjohns.edu/admission/apply).",high
55,appliccation fee waiver,"Point to: ""application fee waiver for international applicants""",high
56,i want to check my eligibility,"To check your eligibility for admission to St. John's University, you need to complete a graduate online [application](https://www.stjohns.edu/admission/apply?utm_source=Home%20Page&utm_medium=Website&utm_campaign=June%202021%20Changes) and pay a non-refundable application fee of $70 USD. You must provide evidence of a baccalaureate degree from an accredited college or university, including official transcripts from each institution attended. If your transcripts are from international universities, they need to be accompanied by an evaluation from a [NACES](https://www.naces.org/) accredited evaluation source, which includes a detailed course-by-course comparison and U.S. degree equivalency and GPA on a 4.0 scale. Additionally, international students must submit satisfactory TOEFL, IELTS, or Duolingo exam scores directly to the Office of Graduate Admission. Further admission documents may be required based on your program of interest. For more information, you can contact the Office of Graduate Admission at 718-990-1601 or [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu).",high
57,can i apply as an international student,"Yes, you can apply to St. John's University as an international student. St. John's University defines an international student as one who will hold a non-immigrant visa while enrolled at the University, including those with visas such as F-1, J-1, A, G, H-4, or others. Undocumented and DACA students, as well as students pending permanent residency, are also considered international students for application purposes.",high
58,how can i apply for admission,"To apply for admission to St. John's University as an international student, you can choose the appropriate [application](https://www.stjohns.edu/admission/apply) for the program you are interested in. If you are considering conditional admission, you should notify the Office of International Education and contact them for assistance with the process. Additionally, you need to apply for your official Student Visa, and you can find more information on how to do this by visiting the [International Admission](https://www.stjohns.edu/admission/international-admission) section on their website.",high
59,how can i apply as a transfer student,"Point to: ""solutions application""",high
60,admission counslor,"You can contact an admission counselor at St. John's University through the following ways:

- For the Queens and Manhattan Campuses, you can reach the Office of Undergraduate Admission at 718-990-2000 or via email at [admhelp@stjohns.edu](mailto:admhelp@stjohns.edu) and [transfers@stjohns.edu](mailto:transfers@stjohns.edu).

- For the Queens Campus specifically, contact the Admission Office at 718-990-2000 or [admissions@stjohns.edu](mailto:admissions@stjohns.edu).

- For the Staten Island Campus, contact the Admission Office at 718-390-4500 or [siadmissions@stjohns.edu](mailto:siadmissions@stjohns.edu).",high
61,campus tour,"You can schedule a campus tour for prospective undergraduate students [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and for prospective graduate students [here](https://grad.stjohns.edu/portal/graduate_tours). If you have questions before your visit, you can contact them at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
62,are there any campus tours available,"Yes, campus tours are available at St. John's University for prospective undergraduate and graduate students. You can schedule an undergraduate tour [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and a graduate tour [here](https://grad.stjohns.edu/portal/graduate_tours). For more information, you can visit [Explore St. John's Today!](https://www.stjohns.edu/admission/connect-us/explore-st-johns-today). If you have questions before your visit, you can contact them at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
63,what are the admission requirements for international students,"Undergraduate International Application

Graduate International Application",high
64,i cannot access my email,,low
65,is wifi,"Yes, Wi-Fi is available at St. John's University. The secured wireless network is called SJUMobile, and it is accessible to all active students, faculty, and employees. There is also a guest network available for visitors.",high
66,it says my account is locked,"To unlock your account, follow the instructions provided [here](https://ithelp.stjohns.edu/support/solutions/articles/16000043317-how-do-i-unlock-my-account-for-signon-stjohns-edu-). You can also click on the **Unlock** link at the bottom of the [SignOn](https://signon.stjohns.edu/) portal and follow the instructions. If you need further assistance, contact the Service Desk at 718-990-5000 during business hours, Monday to Friday, 7:30 AM to 7:30 PM. If you had previously registered a recovery method, you can reset your account on your own by visiting the same [page](https://ithelp.stjohns.edu/support/solutions/articles/16000043317-how-do-i-unlock-my-account-for-signon-stjohns-edu-).",high
67,how do i logon,"Point to: ""solutions signon first time""",high
68,whats your mascot,"Point to: ""what is your mascot?""",high
69,hi i have a question about my application,"Point to: ""solutions admissions""",high
70,what is the deadline to apply for spring semester,"Point to: ""when is admission deadline""",high
71,where is the university located,"St. John's University is located at 8000 Utopia Parkway, Queens, NY 11439. The university also has a campus in Rome and locations in Paris and Limerick. For directions and more information, visit [Find Us](https://www.stjohns.edu/queens-residential-campus/directions-and-area-hotels).",high
72,how long does it take for application to be accepted,"Point to: ""solutions deadlines""",high
73,for grad students,,low
74,new student orientation,"New Student Orientation at St. John's University is an in-person, engaging, and informative experience designed for all new students. It helps students learn more about the campus, experience life as a Johnny, and introduces them to their academic program of study, advisors, faculty, and various ways to get involved and find support for success. 

For first-year students, the orientation is called First Year New Student Orientation, and for transfer students, it is a one-day program called Transfer Student Orientation. During Transfer Student Orientation, students will also receive their ID cards. 

More information and registration details can be found at [stjohns.edu/Orientation](https://www.stjohns.edu/life-st-johns/new-student-orientation).",high
75,masters in science,"The Master of Science (M.S.) degree at St. John's University is offered in Computational Biology and Biostatistics. This program is designed for students with undergraduate degrees in the natural sciences or mathematics, providing them the opportunity to expand their career options in the field of computational biology. Applicants must have a cumulative undergraduate GPA of 3.0, as well as a 3.0 or better in their major discipline. No Graduate Record Examination (GRE) scores are required, and the program accepts applications year-round. For more information, you can contact the Office of Graduate Admission at 718-990-1601 or via email at [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu).",high
76,can you please send me the link to apply,"Point to: ""how to apply""",high
77,where is the campus located,"St. John's University is located at 8000 Utopia Parkway, Queens, NY 11439. The university also has a campus in Rome and locations in Paris and Limerick. For directions and more information, visit [Find Us](https://www.stjohns.edu/queens-residential-campus/directions-and-area-hotels).",high
78,i would like to visit the campus,,low
79,how do i go about it,"To arrange a visit to St. John's University campus, you can book a campus tour by visiting [Explore St. John's Today!](https://www.stjohns.edu/admission/connect-us/explore-st-johns-today). If you want to schedule a tour during the summer, you can customize your on-campus experience by reaching out to their team at [visit@stjohns.edu](mailto:visit@stjohns.edu). If you have any questions prior to your visit, you can contact them at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
80,i tried but it doesnt work,"Point to: ""solutions agent""",high
81,loging in,"To log into your account, you must be an admitted student and have paid your deposit. Once your deposit is paid, your account will be available within 24 to 48 hours. To log in, enter your User ID (X-Number or SS#) and PIN/PASSWORD, then click “Login.” If you encounter issues logging in after this time, contact support at 718-990-5000 during business hours, Monday through Friday, 7:30 AM to 7:30 PM.",high
82,change passwrod,"Point to: ""solutions reset password""",high
83,it says that page cannot be found,,none
84,how do i find out my username,"Point to: ""solutions signon first time""",high
85,what do i do after submitting my application,"After submitting your application to St. John's University, if you need to upload additional documents, you should either log in to the [student portal](https://apply.stjohns.edu/apply/) or submit them via mail to the Office of Undergraduate Admission. However, it is recommended to upload documents online rather than mailing them. Use your legal name on all documents to ensure they are matched correctly with your application.",high
86,i applied and i havent heard anything back,"Point to: ""application status portal""",high
87,do i have to take the sat,"No, you do not have to take the SAT for admission to St. John's University. First-year applicants have the option to submit a test-optional application, allowing them to seek admission without submitting standardized test scores. For more information, you can visit [here](https://www.stjohns.edu/admission/undergraduate-admission/application-requirements/test-optional).",high
88,what is the deadline to apply for fall 2023,,low
89,do you guys have a nursing program,"Point to: ""do you have nursing as a major""",high
90,campus visit,,low
91,for undergraduate students,,low
92,when will i receive a decision,,none
93,my password is not working,"Point to: ""i forgot my password""",high
94,are you a real person,"I am not a real person; I am a virtual assistant created to help answer your questions. If there's anything you need, feel free to ask!",high
95,is there a email i can contact,,none
96,how do i access live chat,"Point to: ""solutions agent""",high
97,printing,You can print wirelessly using our [**WEPA**](https://ithelp.stjohns.edu/support/solutions/articles/16000035466-how-do-i-use-wireless-printing-with-wepa-) print kiosks.,high
98,what are my chances of getting accepted,,none
99,how can i make changes to my application,"To make changes to your application, you need to review the application to verify the accuracy of all the information listed. After carefully reviewing and making any necessary changes, click ""Continue"" to proceed.",high
100,what are the procedure for admission,"To apply to **St. John's University**, follow the instructions listed [here](https://www.stjohns.edu/admission/apply).",high
101,how do i find out the status of my application,Undergraduate students can find out the status of their application by accessing their student portal at [https://apply.stjohns.edu/apply/](https://apply.stjohns.edu/apply/). Graduate students can check their application status by visiting [https://grad.stjohns.edu/apply/](https://grad.stjohns.edu/apply/).,high
102,what gpa do you need to apply,"Point to: ""what high school classes are required for a bachelor's degree?""",high
103,what is the address of the office of admissions,"The address of the Office of Admissions at St. John's University is 8000 Utopia Parkway, Queens, NY 11439.",high
104,what building is the admissions office located,,low
105,what are the dates for orientation,"The orientation dates at St. John's University are as follows:

- Graduate Student Orientation: Monday, August 28
- Transfer Student International Orientation: Thursday, August 24
- First-Year International Student Orientation: Friday, August 25",high
106,what score do i need on the sat,"A score of 550 on the SAT-MATH is required for admission to the Quantitative Risk and Insurance (QRI) Track at St. John's University, in addition to other admission requirements set by the university and the Tobin College of Business. However, SAT or ACT scores are not required for applicants from English-speaking countries, students who have completed their entire high school education in the United States, students who submit an English Language proficiency test score, or students requesting to be reviewed for Conditional Admission. Applicants can also choose to be reviewed as Test-Optional.",high
107,i would like to speak to someone in the financial aid office,"Point to: ""solutions speak to financial aid""",high
108,how do i apply for finical aid,"To apply for financial aid at St. John's University, you need to complete the Free Application for Federal Student Aid (FAFSA). You can apply online at [studentaid.gov](https://studentaid.gov/h/apply-for-aid/fafsa). Make sure to include St. John's University Title IV federal school code, which is 002823, on your FAFSA. It's important to complete a FAFSA every year to receive any type of federal or state financial aid, including federal student loans. New students should not wait to be admitted to the University to apply. Keep copies of all documents used to complete the FAFSA in case your application is chosen for federal verification.",high
109,im having trouble logging into my account,Employees/Faculty,high
110,i am not able to log in to my email,"If you are unable to log into your email account because you don't remember your password, you can reset it by following this [video](https://youtu.be/bPZI6iF6aVo) or [this article](https://ithelp.stjohns.edu/support/solutions/articles/16000016145). Once you have reset your password, you can log in to Sign-On and access your email via the Office 365 Mail icon.",high
111,microsoft office 365,Please refer to [Microsoft Office 365 Solutions webpage](https://ithelp.stjohns.edu/support/solutions/articles/16000061668).,high
112,how do i submit ticket,Please report any problems with your room's facilities to [Facilities Services](https://stjohns-isd.webtma.net/),high
113,how can i check my admission status,,low
114,i want to know the status of my admission,,none
115,how do i submit a application,"To submit an application, complete and submit the [online application](https://apply.stjohns.edu/apply/). There is no application fee for online submissions. If you have a gap in your education of more than three months between your graduation date and the date of application submission, include a statement of activity. An essay and recommendation letters are strongly encouraged but not required for most programs, except for Pharmacy, which requires both. Ensure you meet any additional application requirements specific to your program.",high
116,is there on campus housing,,none
117,letters of reccomendation,"For the application process, the requirements for letters of recommendation are as follows:

- Master's Programs: All applicants must submit at least two letters of recommendation, except for the master's programs in Psychology, School Psychology, and Speech-Language Pathology, which require three letters.
- Doctoral Programs: All applicants must submit a minimum of three letters, with at least one letter attesting to the research potential of the applicant.",high
118,how can i find out who my admissions counselor is,,none
119,how do i apply for classes,"As a new first-time student at St. John's University, you will be registered for courses by a first-year academic advisor after you submit your admission deposit. If you have questions, you can schedule an appointment with an academic advisor in the Center for Student Success by contacting them at studentsuccess@stjohns.edu or [(718) 990-5858](tel:7189905858). For additional information, visit the [Center for Student Success website](https://www.stjohns.edu/academics/centers-institutes/center-student-success).

For other students, registration can be done online through the St. John’s University Information System (UIS) via the University’s web portal, St. John’s Central. You will need your USER NAME, PASSWORD, and Priority Registration Number, which you can obtain from your academic advisor or Dean. Registration is not complete until payment is made, and the University reserves the right to drop a student from classes if payment is not made by the due date.",high
120,i am looking for phd program,"To learn more about the Doctor of Philosophy in Literacy program please visit [Literacy, Doctor of Philosophy](https://www.stjohns.edu/academics/programs/literacy-doctor-philosophy).",high
121,when is the application deadline for international students,,low
122,what are the requirements for transfer,,none
123,how do i contact the it department,Please refer to the [following Solutions webpage](https://ithelp.stjohns.edu/support/solutions/articles/16000034495).,high
124,i am having trouble resetting my password,"You can try resetting your password by following this [video](https://youtu.be/bPZI6iF6aVo) or the instructions [here](https://ithelp.stjohns.edu/support/solutions/articles/16000016145-i-forgot-my-password-to-log-in-to-the-sign-on-portal-how-do-i-reset-my-account-). If you need further assistance, you can call the Service Desk at 718-990-5000, available Monday through Friday from 7:30 AM to 7:30 PM. After verifying your identity, they can help you unlock your account.",high
125,i am having problems connecting to wifi,"Point to: ""solutions wifi""",high
126,i cant access it,,none
127,got a ged,Applicants with a GED are welcome to apply to St. John’s.  You must submit the official GED score report along with the Diploma.,high
128,how do i apply for a program,"Point to: ""solutions application""",high
129,i am a international applicant,"International students are strongly encouraged to apply by May 1 for the Fall semester and by November 1 for the Spring semester. Some programs may have specific application deadlines, so it is recommended to visit [Graduate Admission Deadlines and Notifications](https://www.stjohns.edu/admission/graduate-admission/graduate-admission-deadlines-and-notifications) for more information.",high
130,what is the minimum gpa requirement,,low
131,are there any tours available,"Yes, campus tours are available at St. John's University for prospective undergraduate and graduate students. You can schedule an undergraduate tour [here](https://apply.stjohns.edu/portal/campus_visit_Queens) and a graduate tour [here](https://grad.stjohns.edu/portal/graduate_tours). For more information, you can visit [Explore St. John's Today!](https://www.stjohns.edu/admission/connect-us/explore-st-johns-today). If you have questions before your visit, you can contact them at [718-990-3368](tel:7189903368) or [visit@stjohns.edu](mailto:visit@stjohns.edu).",high
132,do i have to send all sat scores,,none
133,admission for international students,"International students at St. John's University must submit a foreign credential evaluation if they have attended an international university or if their academic records are in a language other than English and not accredited by the United States. The evaluations must contain US grade and credit equivalents, and students can refer to [www.naces.org](http://www.naces.org/) for a listing of credential evaluating agencies. For specific requirements for each graduate program, students should review the appropriate sections under the individual Schools of the University. For more information, international undergraduate and graduate applicants can contact the Office of International Undergraduate Admission at +1-888-9STJOHNS or [intladm@stjohns.edu](mailto:intladm@stjohns.edu?subject=International%20Undergraduate%20Admission), and the Office of International Graduate Admission at +1-718-990-1601 or [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu?subject=International%20Graduate%20Admission).",high
134,how much does it cost to apply,"The application fee for St. John's University is $70. However, the fee is waived for all applicants. Applicants should contact the Office of Graduate Admission at 718-990-1601 or [gradhelp@stjohns.edu](mailto:gradhelp@stjohns.edu) to ensure that their fee is waived.",high
135,i need help applying,"For help with the application process at St. John's University, you can visit their [Application Process page](https://www.stjohns.edu/admission/apply) for detailed information. Additionally, the St. John’s Customer Service Center is available to assist you with any questions you may have. You can also explore the [Student Support Services General Application](https://www.stjohns.edu/files/student-support-services-general-application-0) for specific instructions and requirements.",high
136,what do i do after getting accepted,"After getting accepted to St. John's University, you should confirm your participation in the study abroad program by completing the required confirmation documents. This includes paying your deposit through the St. John’s Office of Student Financial Services and emailing the confirmation to the Office of International Education (OIE). You can pay the deposit online through UIS by following the provided instructions. Additionally, you need to read, sign, and submit the Assumption of Risk and Release, Authorization for Medical Treatment, and Student Code of Conduct forms in your OIE portal. It's important to complete these steps as soon as possible since space is limited in most programs. If you have any questions or concerns, you can contact the Office of International Education.",high
137,is there any scholarships i can apply for,"Yes, St. John's University offers a range of scholarships that you can apply for, including undergraduate student scholarships, transfer student scholarships, international student scholarships, and graduate student scholarships. You can find more information on these scholarships at the following links:

- [Undergraduate Student Scholarships](https://www.stjohns.edu/admission/scholarships)
- [Transfer Student Scholarships](https://www.stjohns.edu/admission/scholarships/transfer-student-scholarships)
- [International Student Scholarships](https://www.stjohns.edu/admission/international-admission/faqs)
- [Graduate Student Scholarships](https://www.stjohns.edu/admission/graduate-admission/graduate-scholarships)",high
138,what is the phone number of the financial aid office,Student Financial Services is located across from Carnesseca Arena for Queens and Manhattan students.,high
139,how do make an account,"For further assistance, please contact the Customer Service Center at [718-990-2000](tel:7189902000).
<br/>
**Office Hours**
Monday–Thursday: 8:30 a.m.-4:30 p.m.
Friday: 8:30 a.m.–3 p.m.
*Holiday hours may vary*",high
140,what is the number for the it department,The phone number for the IT department at St. John's University is (718) 990-5000.,high
141,how do i log into my email,"Point to: ""solutions signon first time""",high
142,how do i find my macomb email address,,low
143,how do i find my password,"Point to: ""solutions forgot password""",high
144,how can i contact the help desk,"Point to: ""it""",high
145,do i need a letter of recommendation,,low
146,can i apply through the common app,"Yes, you can apply to St. John's University using the [Common App](https://www.commonapp.org/).",high
147,how to make an appointment with admissions,,low
148,can the application fee be waived,"Point to: ""application fee waiver for international applicants""",high
149,what are admission requirements for freshman,"Undergraduate Application

Graduate Application",high
150,i am not a current student,,none
